sensor_id,count,mean,std,min,25%,50%,75%,max
ambient,4717.0,30.617949968200126,2.083510886896658,22.33,29.65,31.11,31.99,34.39
current,4700.0,2.7455991489361704,2.0221269799512425,0.0,0.352,4.355,4.38,4.514
head,4717.0,67.48583209667161,12.754646219403746,21.77,60.47,71.03,76.41,90.93
humidity,9434.0,48.748855204579186,13.7126600293173,27.89,33.69,60.13,60.95,65.56
pos1,56.0,12.416785714285712,11.365678495467733,0.0,4.0,7.5,21.3425,39.91
pos2,39.0,5.625384615384616,8.376639147104862,0.0,1.0,2.58,6.9399999999999995,46.57
pos3,39.0,11.736410256410256,9.334859254479667,0.0,3.0,10.0,18.07,32.25
power,4700.0,595.2636170212766,444.1102513809822,0.0,78.0,950.0,960.0,1002.0
temperature,9434.0,31.466817892728425,8.366155101309865,21.64,23.93,24.82,40.09,46.81
weight,68.0,0.27088235294117635,4.092842947015884,-1.8,-1.8,-1.8,-1.78,9.809999999999999
